,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,states,continuous_optimal,binary_optimal,discrete_optimal
21,21,2024-09-20 21:27:24.965073920,TASK_BEGIN,14,-2.36016316201228,1.5049077886469695,4.325018505932984,-0.449212121742272,-1.7398671799722123,0.88800568797003,-1.1614695453904798,-0.0386697600756718,1,2024-09-20 21:27:27.455164795,1726867647.4551656,2024-09-20 21:27:27.455165696,0,1.0,0.1,6.415362720040344,[0. 1.],[0.64643231 0.35356769],"[-0.16666667  0.33203125  0.52734375  0.33333333  0.2734375   0.46875
  0.83333333  0.21484375  0.41015625  0.37304688 -0.8         0.5       ]",0.9535495249930106,0,0
22,22,2024-09-20 21:27:25.026635008,TASK_BEGIN,14,-2.3619836373674388,1.5517642272155785,4.563077809647401,-0.5336242374523261,-1.7445275663586235,0.894311612246799,-1.0076787068907334,-0.04861922817677,1,2024-09-20 21:27:27.455164795,1726867647.4551656,2024-09-20 21:27:27.455165696,0,1.0,0.1,6.415362720040344,[0. 1.],[0.64643231 0.35356769],"[-0.16666667  0.33203125  0.52734375  0.33333333  0.2734375   0.46875
  0.83333333  0.21484375  0.41015625  0.37304688 -0.8         0.5       ]",0.9535495249930106,0,0
23,23,2024-09-20 21:27:25.094127872,TASK_BEGIN,14,-2.356750392333412,1.5948684902312995,4.812231109455058,-0.6190590895964245,-1.7432703034671555,0.8983651372301259,-0.835406320112299,-0.0762149773590826,1,2024-09-20 21:27:27.455164795,1726867647.4551656,2024-09-20 21:27:27.455165696,0,1.0,0.1,6.415362720040344,[0. 1.],[0.64643231 0.35356769],"[-0.16666667  0.33203125  0.52734375  0.33333333  0.2734375   0.46875
  0.83333333  0.21484375  0.41015625  0.37304688 -0.8         0.5       ]",0.9535495249930106,0,0
24,24,2024-09-20 21:27:25.170833920,TASK_BEGIN,14,-2.345557939895275,1.6344496571095255,5.062702451740797,-0.703245993151102,-1.735993577438653,0.8999649951572911,-0.6520030431237338,-0.1204000147468419,1,2024-09-20 21:27:27.455164795,1726867647.4551656,2024-09-20 21:27:27.455165696,0,1.0,0.1,6.415362720040344,[0. 1.],[0.64643231 0.35356769],"[-0.16666667  0.33203125  0.52734375  0.33333333  0.2734375   0.46875
  0.83333333  0.21484375  0.41015625  0.37304688 -0.8         0.5       ]",0.9535495249930106,0,0
25,25,2024-09-20 21:27:25.228710912,TASK_BEGIN,14,-2.329767056492368,1.6709228779777523,5.305645812063595,-0.7838355478588683,-1.7227398088667545,0.898958447074469,-0.4631650844047241,-0.1793920327095323,1,2024-09-20 21:27:27.455164795,1726867647.4551656,2024-09-20 21:27:27.455165696,0,1.0,0.1,6.415362720040344,[0. 1.],[0.64643231 0.35356769],"[-0.16666667  0.33203125  0.52734375  0.33333333  0.2734375   0.46875
  0.83333333  0.21484375  0.41015625  0.37304688 -0.8         0.5       ]",0.9535495249930106,0,0
26,26,2024-09-20 21:27:25.291196928,TASK_BEGIN,14,-2.3109549957040203,1.7048472706987126,5.533778216503866,-0.858576061310087,-1.7037766251703816,0.8952625265547042,-0.2728110086687886,-0.2507833059938561,1,2024-09-20 21:27:27.455164795,1726867647.4551656,2024-09-20 21:27:27.455165696,0,1.0,0.1,6.415362720040344,[0. 1.],[0.64643231 0.35356769],"[-0.16666667  0.33203125  0.52734375  0.33333333  0.2734375   0.46875
  0.83333333  0.21484375  0.41015625  0.37304688 -0.8         0.5       ]",0.9535495249930106,0,0
27,27,2024-09-20 21:27:25.374129152,TASK_BEGIN,14,-2.29089260490024,1.7368865055384344,5.741753686654992,-0.9254554813951013,-1.6796808066793378,0.8888941637137239,-0.083510641918724,-0.3316023888285048,1,2024-09-20 21:27:27.455164795,1726867647.4551656,2024-09-20 21:27:27.455165696,0,1.0,0.1,6.415362720040344,[0. 1.],[0.64643231 0.35356769],"[-0.16666667  0.33203125  0.52734375  0.33333333  0.2734375   0.46875
  0.83333333  0.21484375  0.41015625  0.37304688 -0.8         0.5       ]",0.9535495249930106,0,0
28,28,2024-09-20 21:27:26.292643072,TASK_BEGIN,14,-2.271482726205288,1.7677645334975245,5.926235487857905,-0.9827982055350172,-1.651376773935652,0.87999850331368,0.1028617738198544,-0.4184110059385899,1,2024-09-20 21:27:28.371895996,1726867648.3718967,2024-09-20 21:27:28.371896832,0,1.0,0.1,7.864461904976649,[0. 1.],[0.99782777 0.00217223],"[ 0.08333333  0.2734375   0.46875     0.58333333  0.21484375  0.41015625
  1.          0.          1.          0.32617188 -0.8         0.5       ]",0.9775993333903271,0,0
29,29,2024-09-20 21:27:26.346021888,TASK_BEGIN,14,-2.254615487768268,1.798205457072447,6.0857615863427466,-1.029342722591808,-1.620084878406409,0.8688598084378396,0.284589200350216,-0.507507710003601,1,2024-09-20 21:27:28.371895996,1726867648.3718967,2024-09-20 21:27:28.371896832,0,1.0,0.1,7.864461904976649,[0. 1.],[0.99782777 0.00217223],"[ 0.08333333  0.2734375   0.46875     0.58333333  0.21484375  0.41015625
  1.          0.          1.          0.32617188 -0.8         0.5       ]",0.9775993333903271,0,0
30,30,2024-09-20 21:27:26.423649280,TASK_BEGIN,14,-2.2419623722534725,1.828855618997211,6.220435653100499,-1.0643038778871858,-1.587173409292284,0.8558824950857562,0.4598562264756308,-0.5951895351128906,1,2024-09-20 21:27:29.136895996,1726867649.1368964,2024-09-20 21:27:29.136896256,0,0.0,0.1,8.163312619720422,[1. 0.],[0.87090702 0.12909298],"[-0.125       0.2734375   0.46875     0.375       0.21484375  0.41015625
  0.95        0.2734375   0.46875     0.32617188  0.7         0.        ]",0.697573158150646,0,0
31,31,2024-09-20 21:27:26.485257984,TASK_BEGIN,14,-2.234767224902379,1.8602004508613517,6.331398540727423,-1.0873961878923335,-1.5539766548381482,0.8415461260448904,0.6267518600856945,-0.6779575263536579,1,2024-09-20 21:27:29.238507080,1726867649.2385077,2024-09-20 21:27:29.238507776,0,1.0,0.1,8.199862698587985,[0. 1.],[0.91992385 0.08007615],"[-0.15277778  0.2734375   0.46875     0.34722222  0.21484375  0.41015625
  0.92222222  0.2734375   0.46875     0.29492188 -0.8         0.5       ]",0.9861500681600102,0,0
32,32,2024-09-20 21:27:26.562015232,TASK_BEGIN,14,-2.233687728917916,1.8924992323424696,6.420285566850931,-1.098847934474614,-1.5216500054630613,0.8263502906698451,0.7833690243396997,-0.7526316211135864,1,2024-09-20 21:27:29.238507080,1726867649.2385077,2024-09-20 21:27:29.238507776,0,1.0,0.1,8.199862698587985,[0. 1.],[0.91992385 0.08007615],"[-0.15277778  0.2734375   0.46875     0.34722222  0.21484375  0.41015625
  0.92222222  0.2734375   0.46875     0.29492188 -0.8         0.5       ]",0.9861500681600102,0,0
33,33,2024-09-20 21:27:26.626112000,TASK_BEGIN,14,-2.238719730333904,1.925757239610931,6.488974197059835,-1.0994579950106425,-1.491066874496379,0.8107619693895978,0.9278626336867968,-0.8164381195461519,1,2024-09-20 21:27:29.238507080,1726867649.2385077,2024-09-20 21:27:29.238507776,0,1.0,0.1,8.199862698587985,[0. 1.],[0.91992385 0.08007615],"[-0.15277778  0.2734375   0.46875     0.34722222  0.21484375  0.41015625
  0.92222222  0.2734375   0.46875     0.29492188 -0.8         0.5       ]",0.9861500681600102,0,0
34,34,2024-09-20 21:27:26.688612096,TASK_BEGIN,14,-2.2492118972338786,1.959738581543768,6.539577516739741,-1.0906541337473423,-1.4627241396991078,0.7951703387287683,1.0585280058766091,-0.8671413778101242,1,2024-09-20 21:27:29.238507080,1726867649.2385077,2024-09-20 21:27:29.238507776,0,1.0,0.1,8.199862698587985,[0. 1.],[0.91992385 0.08007615],"[-0.15277778  0.2734375   0.46875     0.34722222  0.21484375  0.41015625
  0.92222222  0.2734375   0.46875     0.29492188 -0.8         0.5       ]",0.9861500681600102,0,0
35,35,2024-09-20 21:27:27.640808192,TASK_BEGIN,14,-2.26396683896644,1.9940089484771315,6.574407511555571,-1.0744494037199233,-1.436662977250641,0.7798528344040738,1.1740299931410547,-0.9032269545642448,1,2024-09-20 21:27:30.143332031,1726867650.1433327,2024-09-20 21:27:30.143332608,0,1.0,0.1,9.362297058472041,[0. 1.],[0.99890049 0.00109951],"[ 0.09722222  0.21484375  0.41015625  0.67222222  0.2734375   0.46875
  1.          0.          1.          0.27929688 -0.8         0.5       ]",1.0003273990128587,0,0
36,36,2024-09-20 21:27:27.711523072,TASK_BEGIN,14,-2.281425407388741,2.027995201197457,6.595759806292592,-1.0532516588210572,-1.4124582475882543,0.7649581781015375,1.273727301858885,-0.9240653077762756,1,2024-09-20 21:27:30.143332031,1726867650.1433327,2024-09-20 21:27:30.143332608,0,1.0,0.1,9.362297058472041,[0. 1.],[0.99890049 0.00109951],"[ 0.09722222  0.21484375  0.41015625  0.67222222  0.2734375   0.46875
  1.          0.          1.          0.27929688 -0.8         0.5       ]",1.0003273990128587,0,0
37,37,2024-09-20 21:27:27.779289088,TASK_BEGIN,14,-2.299915556026544,2.0610540569504945,6.605556892537262,-1.0295717905308184,-1.3893007879410253,0.750508219874991,1.3579249040457542,-0.92996728322507,1,2024-09-20 21:27:30.143332031,1726867650.1433327,2024-09-20 21:27:30.143332608,0,1.0,0.1,9.362297058472041,[0. 1.],[0.99890049 0.00109951],"[ 0.09722222  0.21484375  0.41015625  0.67222222  0.2734375   0.46875
  1.          0.          1.          0.27929688 -0.8         0.5       ]",1.0003273990128587,0,0
38,38,2024-09-20 21:27:27.847012864,TASK_BEGIN,14,-2.3179212288904925,2.092545005847085,6.605043667449933,-1.005729516915565,-1.366121147269695,0.7364121949477864,1.42795908176781,-0.9221132723329496,1,2024-09-20 21:27:30.143332031,1726867650.1433327,2024-09-20 21:27:30.143332608,0,1.0,0.1,9.362297058472041,[0. 1.],[0.99890049 0.00109951],"[ 0.09722222  0.21484375  0.41015625  0.67222222  0.2734375   0.46875
  1.          0.          1.          0.27929688 -0.8         0.5       ]",1.0003273990128587,0,0
39,39,2024-09-20 21:27:27.903939840,TASK_BEGIN,14,-2.334309264627316,2.1218969226409747,6.594793152715528,-0.9836546952704558,-1.3416801286094298,0.7224847079856925,1.4860340944699055,-0.9024071349237552,1,2024-09-20 21:27:30.143332031,1726867650.1433327,2024-09-20 21:27:30.143332608,0,1.0,0.1,9.362297058472041,[0. 1.],[0.99890049 0.00109951],"[ 0.09722222  0.21484375  0.41015625  0.67222222  0.2734375   0.46875
  1.          0.          1.          0.27929688 -0.8         0.5       ]",1.0003273990128587,0,0
40,40,2024-09-20 21:27:27.982641920,TASK_BEGIN,14,-2.348445243231685,2.148649675478244,6.575073070111558,-0.9648247087092322,-1.3146010503098249,0.7084632108525872,1.5347445462046143,-0.8732922690787622,1,2024-09-20 21:27:30.143332031,1726867650.1433327,2024-09-20 21:27:30.143332608,0,1.0,0.1,9.362297058472041,[0. 1.],[0.99890049 0.00109951],"[ 0.09722222  0.21484375  0.41015625  0.67222222  0.2734375   0.46875
  1.          0.          1.          0.27929688 -0.8         0.5       ]",1.0003273990128587,0,0
41,41,2024-09-20 21:27:28.043417088,TASK_BEGIN,14,-2.3601602025126347,2.1724567568130966,6.546295188925295,-0.950297495258668,-1.2833643137447672,0.694021029480797,1.576429286992297,-0.8375354492236043,1,2024-09-20 21:27:30.143332031,1726867650.1433327,2024-09-20 21:27:30.143332608,0,1.0,0.1,9.362297058472041,[0. 1.],[0.99890049 0.00109951],"[ 0.09722222  0.21484375  0.41015625  0.67222222  0.2734375   0.46875
  1.          0.          1.          0.27929688 -0.8         0.5       ]",1.0003273990128587,0,0
42,42,2024-09-20 21:27:28.980859136,TASK_BEGIN,14,-2.3696063491544974,2.19305465729061,6.509219081695023,-0.9407632953616768,-1.2463037466440847,0.6787729131125549,1.612647241897284,-0.798003259685854,1,2024-09-20 21:27:31.406004883,1726867651.406006,2024-09-20 21:27:31.406006016,0,1.0,0.1,9.503981031127877,[0. 1.],[0.89747928 0.10252072],"[ 0.325       0.2734375   0.46875     0.825       0.2734375   0.46875
  1.          0.          1.          0.36328125 -0.8         0.5       ]",0.9818695796303675,0,0
